124, 193, 982, -339,  564, -631,  421, -148,  936, -157
-117,  171, -697,  161, -147,  137, -327,  151, -147,  354
432, -551,  176, -487,  490, -810,  111, -523,  532, -445
-163,  745, -571,  529, -218,  219, -122,  934, -370,  121
315, -145,  313, -174,  118, -259,  672, -126,  230, -135
-199,  104, -106,  107, -124,  625, -126,  229, -248,  992
132, -133,  936,  136,  338, -941,  843, -645,  447, -449
-171,  271, -477, -228,  178,  184, -586,  186, -388,  188
950, -852,  754,  256, -658, -760,  161, -562,  263, -764
-199,  213, -124, -366,  740,  356, -375,  387, -115,  426
